song_name,artist_name,song_id,analysis_sample_rate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration,time_signature,genre
Cross Road Blues,Robert Johnson,1TrGdXSgiBm8W68D2K1COG,22050,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,149.56,4,Blues
I Can't Quit You Baby,Willie Dixon,2PcbVKT28p9mOlWBDL371J,22050,0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,399.173,4,Blues
Red House,Jimi Hendrix,3XxBSvDZKH5YvZZjTpn6eR,22050,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,230.36,4,Blues
Sweet Home Chicago,Robert Johnson,2wPHe2ecCdkT0ly0km12g4,22050,0.691,0.0958,1,-13.9,0,0.143,0.98,1.61e-05,0.0931,0.519,101.574,176.627,4,Blues
I'm Your Hoochie Coochie Man,Muddy Waters,3KSchPNSklO5McIqRH3qYX,22050,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238.533,3,Blues
Texas Flood,Stevie Ray Vaughan,5MtN38MGEWJt60LwtBmFNP,22050,0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,320.907,3,Blues
Dust My Broom,Elmore James,1mbD2setZsn2n4U6xs3Dxg,22050,0.627,0.334,2,-13.163,1,0.0387,0.775,0.00391,0.161,0.843,87.115,179.76,4,Blues
Got My Mojo Working,Muddy Waters,65VzqBb5ogD2xIFD8jetMG,22050,0.519,0.779,4,-9.159,1,0.0648,0.573,8.13e-05,0.286,0.888,113.487,173.04,4,Blues
Mannish Boy,Muddy Waters,58PSYdY0GFg0LFb2PxYk4T,22050,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321.133,3,Blues
Hoochie Coochie Man - Live,Muddy Waters,4789JLZ8VZBD3NoEcpOrSi,22050,0.584,0.399,2,-10.115,0,0.0811,0.787,0.0673,0.702,0.699,105.946,228.0,3,Blues
Back Door Man,Howlin' Wolf,10HdfEE0sausAJu8HJD3Dp,22050,0.528,0.592,9,-14.041,0,0.0621,0.747,1.13e-06,0.203,0.925,156.623,173.533,4,Blues
I'm A King Bee,Slim Harpo,2DbjWyRtXmbOGyN1C1Kdbp,22050,0.712,0.58,10,-7.233,0,0.0263,0.401,0.000271,0.166,0.887,112.692,182.44,4,Blues
Reconsider Baby,Lowell Fulson,65JvAtDMWtNIjDCDOLeJ2A,22050,0.693,0.518,0,-10.984,1,0.0534,0.764,0.000782,0.057,0.688,95.258,189.467,4,Blues
